contrast,dissimilarity,homogeneity,energy,correlation,entropy,asm
[0.0],[0.0],[1.0],[0.06380153395237988],[33978388381.7014],[4.588736338424877],[0.06380153395237988]
[0.0],[0.0],[1.0],[0.048119839532385515],[44569893550.213745],[4.643894236918613],[0.048119839532385515]
[0.0],[0.0],[1.0],[0.0362532486224045],[68553764650.11555],[4.746052386913947],[0.0362532486224045]
[0.0],[0.0],[1.0],[0.012688212701849564],[226993493293.84622],[4.709683561192231],[0.012688212701849564]
[0.0],[0.0],[1.0],[0.007875957350719382],[324272168941.9729],[5.082274007385047],[0.007875957350719382]
[0.0],[0.0],[1.0],[0.04628835329165786],[38792053897.10655],[4.710917856661112],[0.04628835329165786]
[0.0],[0.0],[1.0],[0.017471757512226297],[106688633157.73805],[5.125139920444433],[0.017471757512226297]
[0.0],[0.0],[1.0],[0.010231428010007128],[187212870084.6065],[5.166989030177926],[0.010231428010007128]
[0.0],[0.0],[1.0],[0.024162532861812164],[86230895283.02557],[4.998497404933889],[0.024162532861812164]
[0.0],[0.0],[1.0],[0.045699486168153544],[46965015641.6127],[4.728523567932312],[0.045699486168153544]
[0.0],[0.0],[0.9999999999999999],[0.00866101477641178],[243112492236.73486],[5.198054935239736],[0.00866101477641178]
[0.0],[0.0],[1.0],[0.01421805078108386],[114205581289.43323],[5.120522241641854],[0.01421805078108386]
[0.0],[0.0],[1.0],[0.03352438452627137],[62929832666.951126],[4.864450873555182],[0.03352438452627137]
[0.0],[0.0],[1.0],[0.01987773603762439],[110733888760.63283],[4.971423806442985],[0.01987773603762439]
[0.0],[0.0],[1.0],[0.026641459366668487],[101497464368.3707],[4.830658853379356],[0.026641459366668487]
[0.0],[0.0],[1.0],[0.013386205424565168],[158975565564.4076],[5.202828453959214],[0.013386205424565168]
[0.0],[0.0],[1.0],[0.017501208179955697],[134018028033.06451],[5.077486144931034],[0.017501208179955697]
[0.0],[0.0],[1.0],[0.0675889138737623],[40976356636.56849],[4.256455049919503],[0.0675889138737623]
[0.0],[0.0],[0.9999999999999999],[0.1036680485561057],[30480540858.237675],[3.6673685957790694],[0.1036680485561057]
[0.0],[0.0],[1.0],[0.034599846320599634],[74624152719.5794],[4.563657696586462],[0.034599846320599634]
[0.0],[0.0],[1.0],[0.10387761075610208],[28543817806.237305],[3.7595821329481414],[0.10387761075610208]
[0.0],[0.0],[1.0],[0.035333857225289166],[76151646911.3486],[4.411475400112282],[0.035333857225289166]
[0.0],[0.0],[1.0],[0.09467074458693178],[30925610090.191864],[3.7783321785073154],[0.09467074458693178]
[0.0],[0.0],[1.0],[0.05057504037172607],[53875809758.74074],[4.330661276547374],[0.05057504037172607]
[0.0],[0.0],[1.0],[0.030054647187981093],[91304011067.16046],[4.606713033950953],[0.030054647187981093]
[0.0],[0.0],[1.0],[0.00650010475496309],[269410263250.12994],[5.299793505406992],[0.00650010475496309]
[0.0],[0.0],[1.0],[0.027337170057900005],[91731464819.30946],[4.726504081230239],[0.027337170057900005]
[0.0],[0.0],[1.0],[0.255496788999573],[12820487855.48869],[2.7882597487334753],[0.255496788999573]
[0.0],[0.0],[1.0],[0.01865403584593407],[137811359703.63846],[4.826706020292118],[0.01865403584593407]
[0.0],[0.0],[0.9999999999999999],[0.045802909007183444],[58502775256.7069],[4.483551421873481],[0.045802909007183444]
[0.0],[0.0],[1.0],[0.042166709383979636],[52881455182.42215],[4.596551332008103],[0.042166709383979636]
[0.0],[0.0],[1.0],[0.11471550843549737],[28990945408.1161],[3.6225724086720286],[0.11471550843549737]
[0.0],[0.0],[1.0],[0.00878190638460287],[219225729985.19022],[5.044170180225724],[0.00878190638460287]
[0.0],[0.0],[1.0],[0.03451258347550178],[75720364358.39325],[4.580624059935749],[0.03451258347550178]
